fuel_type,quantity,total_mispricing,adj_total_mispricing,total_overcomp,adj_total_overcomp,ave_mispricing,adj_ave_mispricing,ave_overcomp,adj_ave_overcomp
Battery,1082.40472833333,702767.117991429,557664.040036118,596367.926062307,450460.05767584,649.264641585164,515.208429378167,550.965743636933,416.166010628437
Black Coal,388038.161020833,13094576.7875832,10647548.8611644,8802210.03176721,6355182.10534837,33.7455902613665,27.4394374851001,22.6838772985903,16.3777245223239
Brown Coal,1551008.95077833,24575188.4741584,21811385.7026543,16999808.7434108,12821145.6856361,15.8446464553451,14.0627078210663,10.9604839706953,8.26632604486396
Gas,71982.32536,9936674.04243744,6534799.25782253,6998097.9359034,3596223.34788848,138.043248710595,90.7833864096569,97.2196702580017,49.9598106882898
Hydro,1032840.26755083,128234539.759231,120567458.521397,84646261.1884603,76923592.8952541,124.157184598653,116.733886457872,81.954842242142,74.477724496221
Liquid Fuel,1287.19830916667,2551810.92545928,1979537.90758853,1138263.8422998,565990.824429053,1982.45360274853,1537.86552817187,884.295631989073,439.707557412405
Solar,56044.90832,16746247.2491968,7520259.93396297,4025976.76651187,-5262207.43761129,298.800511075523,134.182750215675,71.8348354416912,-93.892694186698
Wind,1760094.86550917,1225355780.98198,103655339.842809,1178122943.30897,51492878.0468199,696.187350462788,58.8919051319561,669.351957326551,29.2557401625758
