fuel_type,quantity,total_mispricing,adj_total_mispricing,total_overcomp,adj_total_overcomp,ave_mispricing,adj_ave_mispricing,ave_overcomp,adj_ave_overcomp
Battery,1038.8546375,279770.704363718,248764.763886263,-198368.56940791,-242596.502955927,269.306883046684,239.460608738211,-190.949303441802,-233.523049518973
Hydro,22411.716995,349382.208234284,344862.918992409,302694.662853564,298175.373611689,15.5892655753341,15.3876170696492,13.5060898244028,13.3044413187178
